"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.9686,0,0,0
"MOE",0,0,0,0,0,0.6113,0,0
"STRESS",0,0,0,0,0,0,0.985,0
"ENMO_log",0,0,0,0,0,0,0,0.9259
