"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1569,0,0,0,0,0,0,0
"MOE",0.1199,0.1347,0.1332,0,0,0,0,0
"STRESS",0,0.1529,0.1532,0,0,0,0,0
"ENMO_log",0,0,0,0.1566,0,0,0,0
