"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1772,0,0,0,0,0,0,0
"MOE",0,0.3075,0,0,0,0,0.5629,0
"STRESS",0,0,-0.1226,0,0,0,0,0
"ENMO_log",0,0,0,-0.2722,0,0,0,0
