"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",-0.0116,0,0,0,0,0,0,0
"MOE",0,0.0856,0,0,0.3565,0,0,0
"STRESS",0,0,0.286,0,0,0,0,0
"ENMO_log",0,0,0,-0.0203,0,0,0,0
