"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",-0.2578,0,0,0,0,0,0,0
"MOE",0,0.1959,0,0,0.4624,0,0,0
"STRESS",0,0,0.153,0,0,0,0,0
"ENMO_log",0,0,0,-0.4717,0,0,0,0
