"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.7571,0,0,0
"MOE",0,0,0,0,0,0.5028,0,0
"STRESS",0,0,0,0,0,0,0.9667,0
"ENMO_log",0,0,0,0,0,0,0,0.9659
