"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1373,0.1385,0,0,0,0,0,0
"MOE",0,0.1231,0.1232,0,0,0,0,0
"STRESS",0,0,0.1278,0,0,0,0,0.1291
"ENMO_log",0,0,0,0.1283,0.1276,0,0,0
