"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1258,0,0.1256,0.1228,0,0,0,0
"MOE",0,0.0816,0,0.0847,0.0871,0,0,0
"STRESS",0,0,0.1378,0,0,0,0,0
"ENMO_log",0,0,0,0.1303,0,0,0,0
