"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.973,0,0,0
"MOE",0,0,0,0,0,0.581,0,0
"STRESS",0,0,0,0,0,0,0.9932,0
"ENMO_log",0,0,0,0,0,0,0,0.8692
