"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.3894,0,0,0,0,0,0,0
"MOE",0,0.2027,0,0,0.6011,0,0,0
"STRESS",0,0,0.1559,0,0.5602,0,0,0.317
"ENMO_log",0,0,0,0.4047,0,0,0,0
