"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1079,0.3178,0,0,0,0,0,0
"MOE",0,0.4299,0.3133,0,0,0,0,0
"STRESS",0,0,0.4154,0,0,0,0,0.2541
"ENMO_log",0,0,0,-0.1957,-0.3433,0,0,0
