"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1728,0,0,0,0,0,0,0
"MOE",0,0.2914,0,0,0,0,0,0
"STRESS",0,0,0.0128,0,0,0.4086,0,0
"ENMO_log",0,0,0,-0.0448,0,0,0,0
