"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.7265,0,0,0
"MOE",0,0,0,0,0,0.5359,0,0
"STRESS",0,0,0,0,0,0,0.4572,0
"ENMO_log",0,0,0,0,0,0,0,0.8425
