"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1292,0,0.1291,0,0,0.1042,0,0
"MOE",0,0.1468,0,0,0,0,0,0
"STRESS",0,0,0.1171,0.1075,0.1215,0,0,0
"ENMO_log",0,0,0,0.1495,0,0,0,0
