"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.7362,0,0,0,0,0,0,0
"MOE",0,0.3662,0,0,0.5334,0,0,0
"STRESS",0,0,0.2773,0,0,0,0,0
"ENMO_log",0,0,0,0.2063,0,0,0,0
