"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.9814,0,0,0
"MOE",0,0,0,0,0,0.5483,0,0
"STRESS",0,0,0,0,0,0,0.7383,0
"ENMO_log",0,0,0,0,0,0,0,0.9662
