"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.1902,0,0,0
"MOE",0,0,0,0,0,0.6139,0,0
"STRESS",0,0,0,0,0,0,0.6422,0
"ENMO_log",0,0,0,0,0,0,0,0.7447
