"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.0762,0,0.2781,-0.2826,0,0,0,0
"MOE",0,-0.0277,0,-0.1654,0.7373,0,0,0
"STRESS",0,0,0.0513,0,0,0,0,0
"ENMO_log",0,0,0,-0.1537,0,0,0,0
