"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1158,0,0,0,0,0.1214,0,0
"MOE",0,0.1314,0,0,0,0,0,0
"STRESS",0,0,0.136,0,0.136,0,0,0
"ENMO_log",0.1333,0.1436,0,0.1246,0,0.1318,0.1233,0
