"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1682,0,0,0,0,0,0,0
"MOE",0,0.1586,0,0,0.1749,0,0,0
"STRESS",0,0,0.1704,0,0,0,0,0
"ENMO_log",0,0,0,0.1499,0,0,0,0
