"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1337,0,0,0,0,0,0,0
"MOE",0,0.1086,0,0,0.1082,0,0,0
"STRESS",0,0,0.1088,0,0.1059,0,0,0.1062
"ENMO_log",0,0,0,0.1314,0,0,0,0
