"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.2708,0,0,0
"MOE",0,0,0,0,0,0.6308,0,0
"STRESS",0,0,0,0,0,0,0.7178,0
"ENMO_log",0,0,0,0,0,0,0,0.8274
