"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.8504,0,0,0
"MOE",0,0,0,0,0,0.6947,0,0
"STRESS",0,0,0,0,0,0,0.995,0
"ENMO_log",0,0,0,0,0,0,0,0.8979
