"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.958,0,0,0
"MOE",0,0,0,0,0,0.8701,0,0
"STRESS",0,0,0,0,0,0,0.8321,0
"ENMO_log",0,0,0,0,0,0,0,0.9942
