"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.9999,0,0,0
"MOE",0,0,0,0,0,0.8658,0,0
"STRESS",0,0,0,0,0,0,0.9182,0
"ENMO_log",0,0,0,0,0,0,0,0.9996
