"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.1643,0,0,0,0,0,0,0
"MOE",0,0.165,0,0,0.6095,0,0,0
"STRESS",0,0,0.0828,0,0,0,0,0
"ENMO_log",0.359,0,0,0.0264,0,0,0,0
