"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.9854,0,0,0
"MOE",0,0,0,0,0,0.7151,0,0
"STRESS",0,0,0,0,0,0,0.78,0
"ENMO_log",0,0,0,0,0,0,0,0.9752
