"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.7592,0,0,0
"MOE",0,0,0,0,0,0.7814,0,0
"STRESS",0,0,0,0,0,0,0.9585,0
"ENMO_log",0,0,0,0,0,0,0,0.7412
