"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.9441,0,0,0
"MOE",0,0,0,0,0,0.6749,0,0
"STRESS",0,0,0,0,0,0,0.9877,0
"ENMO_log",0,0,0,0,0,0,0,0.7969
