"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0.2365,0,0,0,0,0,0,0
"MOE",0,0.1371,0,0,0.5356,0,0,0
"STRESS",0,0,0.1111,0,0,0,0,0
"ENMO_log",0,-0.3029,0.2993,-0.2629,0,0,0,0
