,PIJN,MOE,STRESS,ENMO_log
PIJN,1.0,0.4310927962478597,0.1931270778915318,-0.0871172657589376
MOE,0.4310927962478597,1.0,0.18499535120571617,-0.10434628506647702
STRESS,0.1931270778915318,0.18499535120571617,1.0,0.021423588904169993
ENMO_log,-0.0871172657589376,-0.10434628506647702,0.021423588904169993,1.0
