,PIJN,MOE,STRESS,ENMO_log
PIJN,1.0,0.7860424559793173,0.4457054320934339,-0.045976955825142315
MOE,0.7860424559793173,1.0,0.45149813991234655,-0.12868038423743863
STRESS,0.4457054320934339,0.45149813991234655,1.0,-0.2596138650158665
ENMO_log,-0.045976955825142315,-0.12868038423743863,-0.2596138650158665,1.0
