"node","n","shapiro_W","shapiro_p","resid_skew","resid_kurtosis","mean_within_acf1","abs_resid_fitted_cor"
"PIJN",873,0.985,7.49e-08,0.317,4.95,-0.052,0.016
"MOE",872,0.987,3.67e-07,-0.33,4.167,-0.011,0.002
"STRESS",871,0.952,2.92e-16,0.951,5.44,-0.033,0.062
"ENMO_log",1021,0.995,0.000894,-0.241,2.998,-0.142,-0.029
