parameter,mean_Avoidance,mean_Overdoing,mean_Pacing,kruskal_H,p_value
Pain -> Activity,-0.153,0.025,0.125,6.46,0.04
Fatigue -> Activity,0.026,-0.036,-0.074,0.38,0.827
Stress -> Activity,0.084,0.016,-0.005,1.646,0.439
Activity -> Pain,-0.024,0.064,-0.169,4.149,0.126
Activity -> Fatigue,-0.146,0.055,-0.238,4.215,0.122
Temporal density,0.14,0.131,0.12,3.059,0.217
