"from","to","weight","SE","P","ran_SD"
"PIJN","PIJN",0.36,0.051,0,0.172
"PIJN","MOE",0.056,0.049,0.258,0.164
"PIJN","STRESS",0.03,0.055,0.583,0.207
"PIJN","ENMO_log",0.011,0.05,0.822,0
"PIJN","EIGENEFF",-0.078,0.051,0.125,0
"PIJN","INTENTIE",-0.029,0.047,0.54,0
"MOE","PIJN",0.005,0.042,0.9,0.082
"MOE","MOE",0.284,0.04,0,0.077
"MOE","STRESS",-0.073,0.038,0.057,0.045
"MOE","ENMO_log",-0.05,0.051,0.327,0.037
"MOE","EIGENEFF",-0.037,0.052,0.481,0.069
"MOE","INTENTIE",-0.077,0.047,0.099,0
"STRESS","PIJN",0.074,0.036,0.039,0.056
"STRESS","MOE",0.048,0.032,0.138,0
"STRESS","STRESS",0.333,0.045,0,0.158
"STRESS","ENMO_log",0.066,0.05,0.183,0.109
"STRESS","EIGENEFF",0.027,0.056,0.633,0.163
"STRESS","INTENTIE",0.062,0.052,0.239,0.157
"ENMO_log","PIJN",-0.061,0.054,0.261,0.243
"ENMO_log","MOE",-0.129,0.054,0.017,0.246
"ENMO_log","STRESS",0.036,0.031,0.239,0
"ENMO_log","ENMO_log",0.146,0.051,0.004,0.156
"ENMO_log","EIGENEFF",0.276,0.066,0,0.278
"ENMO_log","INTENTIE",0.199,0.057,0.001,0.228
"EIGENEFF","PIJN",-0.029,0.04,0.467,0.096
"EIGENEFF","MOE",-0.031,0.033,0.349,0
"EIGENEFF","STRESS",0.01,0.039,0.797,0.102
"EIGENEFF","ENMO_log",0.002,0.046,0.957,0
"EIGENEFF","EIGENEFF",0.068,0.05,0.174,0.084
"EIGENEFF","INTENTIE",-0.139,0.055,0.011,0.173
"INTENTIE","PIJN",0.008,0.043,0.848,0.07
"INTENTIE","MOE",-0.008,0.044,0.855,0.112
"INTENTIE","STRESS",-0.051,0.039,0.184,0
"INTENTIE","ENMO_log",0.078,0.059,0.187,0.141
"INTENTIE","EIGENEFF",0.047,0.069,0.498,0.223
"INTENTIE","INTENTIE",0.325,0.062,0,0.184
