"b","edge","from","to","weight"
125,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.123
125,"ENMO_log__to__MOE","ENMO_log","MOE",-0.153
125,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.004
125,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.087
126,"PIJN__to__PIJN","PIJN","PIJN",0.351
126,"PIJN__to__MOE","PIJN","MOE",0.063
126,"PIJN__to__STRESS","PIJN","STRESS",-0.034
126,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.033
126,"MOE__to__PIJN","MOE","PIJN",0.057
126,"MOE__to__MOE","MOE","MOE",0.238
126,"MOE__to__STRESS","MOE","STRESS",-0.014
126,"MOE__to__ENMO_log","MOE","ENMO_log",-0.061
126,"STRESS__to__PIJN","STRESS","PIJN",0.067
126,"STRESS__to__MOE","STRESS","MOE",0.058
126,"STRESS__to__STRESS","STRESS","STRESS",0.3
126,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.063
126,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.091
126,"ENMO_log__to__MOE","ENMO_log","MOE",-0.116
126,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.071
126,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.164
127,"PIJN__to__PIJN","PIJN","PIJN",0.371
127,"PIJN__to__MOE","PIJN","MOE",0.101
127,"PIJN__to__STRESS","PIJN","STRESS",0.114
127,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.029
127,"MOE__to__PIJN","MOE","PIJN",0.067
127,"MOE__to__MOE","MOE","MOE",0.344
127,"MOE__to__STRESS","MOE","STRESS",-0.02
127,"MOE__to__ENMO_log","MOE","ENMO_log",0.001
127,"STRESS__to__PIJN","STRESS","PIJN",0.083
127,"STRESS__to__MOE","STRESS","MOE",0.053
127,"STRESS__to__STRESS","STRESS","STRESS",0.314
127,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.038
127,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.048
127,"ENMO_log__to__MOE","ENMO_log","MOE",-0.23
127,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.077
127,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.253
128,"PIJN__to__PIJN","PIJN","PIJN",0.3
128,"PIJN__to__MOE","PIJN","MOE",0
128,"PIJN__to__STRESS","PIJN","STRESS",0.082
128,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.052
128,"MOE__to__PIJN","MOE","PIJN",0.001
128,"MOE__to__MOE","MOE","MOE",0.271
128,"MOE__to__STRESS","MOE","STRESS",-0.063
128,"MOE__to__ENMO_log","MOE","ENMO_log",-0.1
128,"STRESS__to__PIJN","STRESS","PIJN",0.104
128,"STRESS__to__MOE","STRESS","MOE",0.085
128,"STRESS__to__STRESS","STRESS","STRESS",0.26
128,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.111
128,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.031
128,"ENMO_log__to__MOE","ENMO_log","MOE",-0.124
128,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.04
128,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.089
129,"PIJN__to__PIJN","PIJN","PIJN",0.325
129,"PIJN__to__MOE","PIJN","MOE",0.052
129,"PIJN__to__STRESS","PIJN","STRESS",-0.03
129,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.003
129,"MOE__to__PIJN","MOE","PIJN",0.007
129,"MOE__to__MOE","MOE","MOE",0.233
129,"MOE__to__STRESS","MOE","STRESS",-0.134
129,"MOE__to__ENMO_log","MOE","ENMO_log",-0.055
129,"STRESS__to__PIJN","STRESS","PIJN",0.044
129,"STRESS__to__MOE","STRESS","MOE",0.074
129,"STRESS__to__STRESS","STRESS","STRESS",0.288
129,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.068
129,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.134
129,"ENMO_log__to__MOE","ENMO_log","MOE",-0.117
129,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.007
129,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.253
130,"PIJN__to__PIJN","PIJN","PIJN",0.399
130,"PIJN__to__MOE","PIJN","MOE",-0.002
130,"PIJN__to__STRESS","PIJN","STRESS",0.011
130,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.069
130,"MOE__to__PIJN","MOE","PIJN",-0.025
130,"MOE__to__MOE","MOE","MOE",0.294
130,"MOE__to__STRESS","MOE","STRESS",-0.103
130,"MOE__to__ENMO_log","MOE","ENMO_log",-0.106
130,"STRESS__to__PIJN","STRESS","PIJN",0.034
130,"STRESS__to__MOE","STRESS","MOE",0.019
130,"STRESS__to__STRESS","STRESS","STRESS",0.284
130,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.062
130,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.015
130,"ENMO_log__to__MOE","ENMO_log","MOE",-0.105
130,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.039
130,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.161
131,"PIJN__to__PIJN","PIJN","PIJN",0.414
131,"PIJN__to__MOE","PIJN","MOE",0.165
131,"PIJN__to__STRESS","PIJN","STRESS",0.099
131,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.044
131,"MOE__to__PIJN","MOE","PIJN",0.026
131,"MOE__to__MOE","MOE","MOE",0.289
131,"MOE__to__STRESS","MOE","STRESS",-0.074
131,"MOE__to__ENMO_log","MOE","ENMO_log",-0.01
131,"STRESS__to__PIJN","STRESS","PIJN",0.114
131,"STRESS__to__MOE","STRESS","MOE",0.043
131,"STRESS__to__STRESS","STRESS","STRESS",0.379
131,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.022
131,"ENMO_log__to__PIJN","ENMO_log","PIJN",0.05
131,"ENMO_log__to__MOE","ENMO_log","MOE",-0.08
131,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.053
131,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.169
132,"PIJN__to__PIJN","PIJN","PIJN",0.376
132,"PIJN__to__MOE","PIJN","MOE",-0.005
132,"PIJN__to__STRESS","PIJN","STRESS",0.035
132,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.078
132,"MOE__to__PIJN","MOE","PIJN",0.013
132,"MOE__to__MOE","MOE","MOE",0.337
132,"MOE__to__STRESS","MOE","STRESS",-0.053
132,"MOE__to__ENMO_log","MOE","ENMO_log",0.023
132,"STRESS__to__PIJN","STRESS","PIJN",0.069
132,"STRESS__to__MOE","STRESS","MOE",0.059
132,"STRESS__to__STRESS","STRESS","STRESS",0.33
132,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.032
132,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.075
132,"ENMO_log__to__MOE","ENMO_log","MOE",-0.2
132,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.048
132,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.21
133,"PIJN__to__PIJN","PIJN","PIJN",0.445
133,"PIJN__to__MOE","PIJN","MOE",0.059
133,"PIJN__to__STRESS","PIJN","STRESS",0.106
133,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.004
133,"MOE__to__PIJN","MOE","PIJN",-0.029
133,"MOE__to__MOE","MOE","MOE",0.332
133,"MOE__to__STRESS","MOE","STRESS",-0.098
133,"MOE__to__ENMO_log","MOE","ENMO_log",-0.04
133,"STRESS__to__PIJN","STRESS","PIJN",0.097
133,"STRESS__to__MOE","STRESS","MOE",0.023
133,"STRESS__to__STRESS","STRESS","STRESS",0.351
133,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.042
133,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.133
133,"ENMO_log__to__MOE","ENMO_log","MOE",-0.212
133,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.019
133,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.191
134,"PIJN__to__PIJN","PIJN","PIJN",0.383
134,"PIJN__to__MOE","PIJN","MOE",0.108
134,"PIJN__to__STRESS","PIJN","STRESS",0.004
134,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.039
134,"MOE__to__PIJN","MOE","PIJN",0.108
134,"MOE__to__MOE","MOE","MOE",0.323
134,"MOE__to__STRESS","MOE","STRESS",-0.049
134,"MOE__to__ENMO_log","MOE","ENMO_log",-0.102
134,"STRESS__to__PIJN","STRESS","PIJN",0.086
134,"STRESS__to__MOE","STRESS","MOE",0.002
134,"STRESS__to__STRESS","STRESS","STRESS",0.321
134,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.075
134,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.134
134,"ENMO_log__to__MOE","ENMO_log","MOE",-0.228
134,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.023
134,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.165
135,"PIJN__to__PIJN","PIJN","PIJN",0.272
135,"PIJN__to__MOE","PIJN","MOE",-0.073
135,"PIJN__to__STRESS","PIJN","STRESS",-0.052
135,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.016
135,"MOE__to__PIJN","MOE","PIJN",-0.009
135,"MOE__to__MOE","MOE","MOE",0.311
135,"MOE__to__STRESS","MOE","STRESS",-0.004
135,"MOE__to__ENMO_log","MOE","ENMO_log",-0.022
135,"STRESS__to__PIJN","STRESS","PIJN",0.079
135,"STRESS__to__MOE","STRESS","MOE",0.058
135,"STRESS__to__STRESS","STRESS","STRESS",0.25
135,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.018
135,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.2
135,"ENMO_log__to__MOE","ENMO_log","MOE",-0.243
135,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.034
135,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.25
136,"PIJN__to__PIJN","PIJN","PIJN",0.302
136,"PIJN__to__MOE","PIJN","MOE",-0.043
136,"PIJN__to__STRESS","PIJN","STRESS",-0.019
136,"PIJN__to__ENMO_log","PIJN","ENMO_log",0
136,"MOE__to__PIJN","MOE","PIJN",-0.036
136,"MOE__to__MOE","MOE","MOE",0.266
136,"MOE__to__STRESS","MOE","STRESS",-0.11
136,"MOE__to__ENMO_log","MOE","ENMO_log",-0.066
136,"STRESS__to__PIJN","STRESS","PIJN",0.104
136,"STRESS__to__MOE","STRESS","MOE",0.075
136,"STRESS__to__STRESS","STRESS","STRESS",0.292
136,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.099
136,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.087
136,"ENMO_log__to__MOE","ENMO_log","MOE",-0.215
136,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.028
136,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.11
137,"PIJN__to__PIJN","PIJN","PIJN",0.326
137,"PIJN__to__MOE","PIJN","MOE",0.075
137,"PIJN__to__STRESS","PIJN","STRESS",-0.027
137,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.043
137,"MOE__to__PIJN","MOE","PIJN",0.013
137,"MOE__to__MOE","MOE","MOE",0.313
137,"MOE__to__STRESS","MOE","STRESS",-0.077
137,"MOE__to__ENMO_log","MOE","ENMO_log",0.003
137,"STRESS__to__PIJN","STRESS","PIJN",0.104
137,"STRESS__to__MOE","STRESS","MOE",0.088
137,"STRESS__to__STRESS","STRESS","STRESS",0.412
137,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.042
137,"ENMO_log__to__PIJN","ENMO_log","PIJN",0.011
137,"ENMO_log__to__MOE","ENMO_log","MOE",-0.07
137,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.001
137,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.151
138,"PIJN__to__PIJN","PIJN","PIJN",0.343
138,"PIJN__to__MOE","PIJN","MOE",0.13
138,"PIJN__to__STRESS","PIJN","STRESS",0.008
138,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.052
138,"MOE__to__PIJN","MOE","PIJN",0.033
138,"MOE__to__MOE","MOE","MOE",0.249
138,"MOE__to__STRESS","MOE","STRESS",-0.046
138,"MOE__to__ENMO_log","MOE","ENMO_log",-0.105
138,"STRESS__to__PIJN","STRESS","PIJN",0.059
138,"STRESS__to__MOE","STRESS","MOE",0.046
138,"STRESS__to__STRESS","STRESS","STRESS",0.365
138,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.112
138,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.01
138,"ENMO_log__to__MOE","ENMO_log","MOE",-0.077
138,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.014
138,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.107
139,"PIJN__to__PIJN","PIJN","PIJN",0.326
139,"PIJN__to__MOE","PIJN","MOE",0.078
139,"PIJN__to__STRESS","PIJN","STRESS",0.006
139,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.026
139,"MOE__to__PIJN","MOE","PIJN",0.127
139,"MOE__to__MOE","MOE","MOE",0.339
139,"MOE__to__STRESS","MOE","STRESS",0.019
139,"MOE__to__ENMO_log","MOE","ENMO_log",-0.102
139,"STRESS__to__PIJN","STRESS","PIJN",0.123
139,"STRESS__to__MOE","STRESS","MOE",0.101
139,"STRESS__to__STRESS","STRESS","STRESS",0.378
139,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.047
139,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.118
139,"ENMO_log__to__MOE","ENMO_log","MOE",-0.127
139,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.015
139,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.137
140,"PIJN__to__PIJN","PIJN","PIJN",0.367
140,"PIJN__to__MOE","PIJN","MOE",-0.03
140,"PIJN__to__STRESS","PIJN","STRESS",-0.099
140,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.004
140,"MOE__to__PIJN","MOE","PIJN",0.013
140,"MOE__to__MOE","MOE","MOE",0.303
140,"MOE__to__STRESS","MOE","STRESS",-0.041
140,"MOE__to__ENMO_log","MOE","ENMO_log",-0.022
140,"STRESS__to__PIJN","STRESS","PIJN",0.117
140,"STRESS__to__MOE","STRESS","MOE",0.134
140,"STRESS__to__STRESS","STRESS","STRESS",0.319
140,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.117
140,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.026
140,"ENMO_log__to__MOE","ENMO_log","MOE",-0.005
140,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.049
140,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.1
141,"PIJN__to__PIJN","PIJN","PIJN",0.302
141,"PIJN__to__MOE","PIJN","MOE",0.006
141,"PIJN__to__STRESS","PIJN","STRESS",-0.064
141,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.015
141,"MOE__to__PIJN","MOE","PIJN",-0.034
141,"MOE__to__MOE","MOE","MOE",0.286
141,"MOE__to__STRESS","MOE","STRESS",-0.008
141,"MOE__to__ENMO_log","MOE","ENMO_log",-0.014
141,"STRESS__to__PIJN","STRESS","PIJN",0.073
141,"STRESS__to__MOE","STRESS","MOE",0.049
141,"STRESS__to__STRESS","STRESS","STRESS",0.292
141,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.165
141,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.004
141,"ENMO_log__to__MOE","ENMO_log","MOE",-0.099
141,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.105
141,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.071
142,"PIJN__to__PIJN","PIJN","PIJN",0.402
142,"PIJN__to__MOE","PIJN","MOE",0.037
142,"PIJN__to__STRESS","PIJN","STRESS",0.039
142,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.081
142,"MOE__to__PIJN","MOE","PIJN",-0.102
142,"MOE__to__MOE","MOE","MOE",0.299
142,"MOE__to__STRESS","MOE","STRESS",-0.124
142,"MOE__to__ENMO_log","MOE","ENMO_log",0
142,"STRESS__to__PIJN","STRESS","PIJN",0.112
142,"STRESS__to__MOE","STRESS","MOE",0.048
142,"STRESS__to__STRESS","STRESS","STRESS",0.445
142,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.039
142,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.082
142,"ENMO_log__to__MOE","ENMO_log","MOE",-0.162
142,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.025
142,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.106
143,"PIJN__to__PIJN","PIJN","PIJN",0.382
143,"PIJN__to__MOE","PIJN","MOE",0.106
143,"PIJN__to__STRESS","PIJN","STRESS",0.031
143,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.019
143,"MOE__to__PIJN","MOE","PIJN",0.016
143,"MOE__to__MOE","MOE","MOE",0.271
143,"MOE__to__STRESS","MOE","STRESS",-0.074
143,"MOE__to__ENMO_log","MOE","ENMO_log",-0.1
143,"STRESS__to__PIJN","STRESS","PIJN",0.063
143,"STRESS__to__MOE","STRESS","MOE",0.022
143,"STRESS__to__STRESS","STRESS","STRESS",0.369
143,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.076
143,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.034
143,"ENMO_log__to__MOE","ENMO_log","MOE",-0.065
143,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.06
143,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.116
144,"PIJN__to__PIJN","PIJN","PIJN",0.453
144,"PIJN__to__MOE","PIJN","MOE",0.128
144,"PIJN__to__STRESS","PIJN","STRESS",-0.006
144,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.037
144,"MOE__to__PIJN","MOE","PIJN",0.018
144,"MOE__to__MOE","MOE","MOE",0.292
144,"MOE__to__STRESS","MOE","STRESS",-0.054
144,"MOE__to__ENMO_log","MOE","ENMO_log",-0.059
144,"STRESS__to__PIJN","STRESS","PIJN",0.077
144,"STRESS__to__MOE","STRESS","MOE",0.058
144,"STRESS__to__STRESS","STRESS","STRESS",0.268
144,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.09
144,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.065
144,"ENMO_log__to__MOE","ENMO_log","MOE",-0.085
144,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.024
144,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.243
145,"PIJN__to__PIJN","PIJN","PIJN",0.399
145,"PIJN__to__MOE","PIJN","MOE",0.078
145,"PIJN__to__STRESS","PIJN","STRESS",0.065
145,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.062
145,"MOE__to__PIJN","MOE","PIJN",-0.018
145,"MOE__to__MOE","MOE","MOE",0.269
145,"MOE__to__STRESS","MOE","STRESS",-0.115
145,"MOE__to__ENMO_log","MOE","ENMO_log",-0.001
145,"STRESS__to__PIJN","STRESS","PIJN",0.054
145,"STRESS__to__MOE","STRESS","MOE",0.045
145,"STRESS__to__STRESS","STRESS","STRESS",0.376
145,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.028
145,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.066
145,"ENMO_log__to__MOE","ENMO_log","MOE",-0.201
145,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.012
145,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.213
146,"PIJN__to__PIJN","PIJN","PIJN",0.32
146,"PIJN__to__MOE","PIJN","MOE",0.111
146,"PIJN__to__STRESS","PIJN","STRESS",0.054
146,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.043
146,"MOE__to__PIJN","MOE","PIJN",0.058
146,"MOE__to__MOE","MOE","MOE",0.307
146,"MOE__to__STRESS","MOE","STRESS",-0.046
146,"MOE__to__ENMO_log","MOE","ENMO_log",-0.114
146,"STRESS__to__PIJN","STRESS","PIJN",0.097
146,"STRESS__to__MOE","STRESS","MOE",0.038
146,"STRESS__to__STRESS","STRESS","STRESS",0.263
146,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.122
146,"ENMO_log__to__PIJN","ENMO_log","PIJN",0.003
146,"ENMO_log__to__MOE","ENMO_log","MOE",-0.152
146,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.033
146,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.122
147,"PIJN__to__PIJN","PIJN","PIJN",0.285
147,"PIJN__to__MOE","PIJN","MOE",0.008
147,"PIJN__to__STRESS","PIJN","STRESS",0.045
147,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.023
147,"MOE__to__PIJN","MOE","PIJN",-0.012
147,"MOE__to__MOE","MOE","MOE",0.317
147,"MOE__to__STRESS","MOE","STRESS",-0.035
147,"MOE__to__ENMO_log","MOE","ENMO_log",0.046
147,"STRESS__to__PIJN","STRESS","PIJN",0.129
147,"STRESS__to__MOE","STRESS","MOE",0.105
147,"STRESS__to__STRESS","STRESS","STRESS",0.314
147,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.042
147,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.09
147,"ENMO_log__to__MOE","ENMO_log","MOE",-0.132
147,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.054
147,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.186
148,"PIJN__to__PIJN","PIJN","PIJN",0.454
148,"PIJN__to__MOE","PIJN","MOE",0.127
148,"PIJN__to__STRESS","PIJN","STRESS",0.056
148,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.021
148,"MOE__to__PIJN","MOE","PIJN",0.001
148,"MOE__to__MOE","MOE","MOE",0.262
148,"MOE__to__STRESS","MOE","STRESS",-0.08
148,"MOE__to__ENMO_log","MOE","ENMO_log",-0.068
148,"STRESS__to__PIJN","STRESS","PIJN",0.111
148,"STRESS__to__MOE","STRESS","MOE",0.076
148,"STRESS__to__STRESS","STRESS","STRESS",0.447
148,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.031
148,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.117
148,"ENMO_log__to__MOE","ENMO_log","MOE",-0.148
148,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.004
148,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.182
149,"PIJN__to__PIJN","PIJN","PIJN",0.439
149,"PIJN__to__MOE","PIJN","MOE",0.118
149,"PIJN__to__STRESS","PIJN","STRESS",0.047
149,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.083
149,"MOE__to__PIJN","MOE","PIJN",-0.041
149,"MOE__to__MOE","MOE","MOE",0.256
149,"MOE__to__STRESS","MOE","STRESS",-0.106
149,"MOE__to__ENMO_log","MOE","ENMO_log",0.015
149,"STRESS__to__PIJN","STRESS","PIJN",0.021
149,"STRESS__to__MOE","STRESS","MOE",0.01
149,"STRESS__to__STRESS","STRESS","STRESS",0.402
149,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.076
149,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.009
149,"ENMO_log__to__MOE","ENMO_log","MOE",-0.108
149,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.037
149,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.115
150,"PIJN__to__PIJN","PIJN","PIJN",0.436
150,"PIJN__to__MOE","PIJN","MOE",0.147
150,"PIJN__to__STRESS","PIJN","STRESS",0.041
150,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.004
150,"MOE__to__PIJN","MOE","PIJN",-0.016
150,"MOE__to__MOE","MOE","MOE",0.283
150,"MOE__to__STRESS","MOE","STRESS",-0.087
150,"MOE__to__ENMO_log","MOE","ENMO_log",-0.116
150,"STRESS__to__PIJN","STRESS","PIJN",0.08
150,"STRESS__to__MOE","STRESS","MOE",0.045
150,"STRESS__to__STRESS","STRESS","STRESS",0.352
150,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.107
150,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.08
150,"ENMO_log__to__MOE","ENMO_log","MOE",-0.124
150,"ENMO_log__to__STRESS","ENMO_log","STRESS",-0.006
150,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.171
151,"PIJN__to__PIJN","PIJN","PIJN",0.333
151,"PIJN__to__MOE","PIJN","MOE",0.009
151,"PIJN__to__STRESS","PIJN","STRESS",0.003
151,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.038
151,"MOE__to__PIJN","MOE","PIJN",0.006
151,"MOE__to__MOE","MOE","MOE",0.256
151,"MOE__to__STRESS","MOE","STRESS",0.006
151,"MOE__to__ENMO_log","MOE","ENMO_log",0.034
151,"STRESS__to__PIJN","STRESS","PIJN",0.196
151,"STRESS__to__MOE","STRESS","MOE",0.137
151,"STRESS__to__STRESS","STRESS","STRESS",0.338
151,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.118
151,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.066
151,"ENMO_log__to__MOE","ENMO_log","MOE",-0.174
151,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.071
151,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.023
152,"PIJN__to__PIJN","PIJN","PIJN",0.381
152,"PIJN__to__MOE","PIJN","MOE",0.045
152,"PIJN__to__STRESS","PIJN","STRESS",0.003
152,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.011
152,"MOE__to__PIJN","MOE","PIJN",-0.025
152,"MOE__to__MOE","MOE","MOE",0.289
152,"MOE__to__STRESS","MOE","STRESS",-0.105
152,"MOE__to__ENMO_log","MOE","ENMO_log",-0.054
152,"STRESS__to__PIJN","STRESS","PIJN",0.061
152,"STRESS__to__MOE","STRESS","MOE",0.032
152,"STRESS__to__STRESS","STRESS","STRESS",0.386
152,"STRESS__to__ENMO_log","STRESS","ENMO_log",-0.012
152,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.101
152,"ENMO_log__to__MOE","ENMO_log","MOE",-0.135
152,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.013
152,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.248
153,"PIJN__to__PIJN","PIJN","PIJN",0.368
153,"PIJN__to__MOE","PIJN","MOE",0.1
153,"PIJN__to__STRESS","PIJN","STRESS",0.039
153,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.009
153,"MOE__to__PIJN","MOE","PIJN",0.092
153,"MOE__to__MOE","MOE","MOE",0.261
153,"MOE__to__STRESS","MOE","STRESS",-0.029
153,"MOE__to__ENMO_log","MOE","ENMO_log",-0.023
153,"STRESS__to__PIJN","STRESS","PIJN",0.17
153,"STRESS__to__MOE","STRESS","MOE",0.094
153,"STRESS__to__STRESS","STRESS","STRESS",0.374
153,"STRESS__to__ENMO_log","STRESS","ENMO_log",-0.004
153,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.17
153,"ENMO_log__to__MOE","ENMO_log","MOE",-0.163
153,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.022
153,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.151
154,"PIJN__to__PIJN","PIJN","PIJN",0.382
154,"PIJN__to__MOE","PIJN","MOE",0.11
154,"PIJN__to__STRESS","PIJN","STRESS",0.005
154,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.057
154,"MOE__to__PIJN","MOE","PIJN",-0.078
154,"MOE__to__MOE","MOE","MOE",0.187
154,"MOE__to__STRESS","MOE","STRESS",-0.164
154,"MOE__to__ENMO_log","MOE","ENMO_log",-0.056
154,"STRESS__to__PIJN","STRESS","PIJN",0.027
