"b","edge","from","to","weight"
4,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.046
4,"MOE__to__PIJN","MOE","PIJN",-0.01
4,"MOE__to__MOE","MOE","MOE",0.238
4,"MOE__to__STRESS","MOE","STRESS",-0.063
4,"MOE__to__ENMO_log","MOE","ENMO_log",-0.01
4,"STRESS__to__PIJN","STRESS","PIJN",0.126
4,"STRESS__to__MOE","STRESS","MOE",0.05
4,"STRESS__to__STRESS","STRESS","STRESS",0.308
4,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.039
4,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.025
4,"ENMO_log__to__MOE","ENMO_log","MOE",-0.216
4,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.048
4,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.073
5,"PIJN__to__PIJN","PIJN","PIJN",0.37
5,"PIJN__to__MOE","PIJN","MOE",0.071
5,"PIJN__to__STRESS","PIJN","STRESS",0.106
5,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.001
5,"MOE__to__PIJN","MOE","PIJN",0.019
5,"MOE__to__MOE","MOE","MOE",0.32
5,"MOE__to__STRESS","MOE","STRESS",-0.063
5,"MOE__to__ENMO_log","MOE","ENMO_log",-0.056
5,"STRESS__to__PIJN","STRESS","PIJN",0.149
5,"STRESS__to__MOE","STRESS","MOE",0.04
5,"STRESS__to__STRESS","STRESS","STRESS",0.336
5,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.036
5,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.161
5,"ENMO_log__to__MOE","ENMO_log","MOE",-0.212
5,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.004
5,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.148
6,"PIJN__to__PIJN","PIJN","PIJN",0.335
6,"PIJN__to__MOE","PIJN","MOE",0.049
6,"PIJN__to__STRESS","PIJN","STRESS",-0.013
6,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.047
6,"MOE__to__PIJN","MOE","PIJN",0.01
6,"MOE__to__MOE","MOE","MOE",0.283
6,"MOE__to__STRESS","MOE","STRESS",-0.005
6,"MOE__to__ENMO_log","MOE","ENMO_log",-0.087
6,"STRESS__to__PIJN","STRESS","PIJN",0.102
6,"STRESS__to__MOE","STRESS","MOE",-0.024
6,"STRESS__to__STRESS","STRESS","STRESS",0.258
6,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.068
6,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.085
6,"ENMO_log__to__MOE","ENMO_log","MOE",-0.214
6,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.069
6,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.11
7,"PIJN__to__PIJN","PIJN","PIJN",0.362
7,"PIJN__to__MOE","PIJN","MOE",0.052
7,"PIJN__to__STRESS","PIJN","STRESS",-0.016
7,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.065
7,"MOE__to__PIJN","MOE","PIJN",0.039
7,"MOE__to__MOE","MOE","MOE",0.35
7,"MOE__to__STRESS","MOE","STRESS",-0.024
7,"MOE__to__ENMO_log","MOE","ENMO_log",-0.112
7,"STRESS__to__PIJN","STRESS","PIJN",0.098
7,"STRESS__to__MOE","STRESS","MOE",0.026
7,"STRESS__to__STRESS","STRESS","STRESS",0.295
7,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.086
