"edge","from","to","boot_mean","ci_lo","ci_hi","prop_sign_consistent","primary_weight","P"
"PIJN__to__PIJN","PIJN","PIJN",0.359,0.25,0.463,1,0.364,0
"STRESS__to__STRESS","STRESS","STRESS",0.333,0.243,0.427,1,0.333,0
"MOE__to__MOE","MOE","MOE",0.283,0.197,0.364,1,0.285,0
"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.156,0.036,0.264,0.998,0.159,0.004
"ENMO_log__to__MOE","ENMO_log","MOE",-0.135,-0.247,-0.038,0.994,-0.131,0.015
"STRESS__to__PIJN","STRESS","PIJN",0.083,0.017,0.15,0.992,0.081,0.027
"MOE__to__STRESS","MOE","STRESS",-0.072,-0.146,0.01,0.956,-0.073,0.066
"PIJN__to__MOE","PIJN","MOE",0.066,-0.034,0.172,0.878,0.066,0.183
"STRESS__to__ENMO_log","STRESS","ENMO_log",0.068,-0.019,0.163,0.936,0.065,0.183
"MOE__to__ENMO_log","MOE","ENMO_log",-0.056,-0.165,0.043,0.858,-0.059,0.235
"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.06,-0.17,0.036,0.878,-0.057,0.281
"STRESS__to__MOE","STRESS","MOE",0.054,-0.019,0.119,0.94,0.052,0.105
"PIJN__to__STRESS","PIJN","STRESS",0.03,-0.064,0.126,0.746,0.034,0.527
"ENMO_log__to__STRESS","ENMO_log","STRESS",0.029,-0.01,0.076,0.924,0.029,0.332
"MOE__to__PIJN","MOE","PIJN",0.015,-0.078,0.116,0.618,0.013,0.769
"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.001,-0.081,0.091,0.526,-0.004,0.936
