"node1","node2","pcor","P","ran_SD"
"MOE","PIJN",0.373,0,0.106
"STRESS","PIJN",0.19,0,0.131
"STRESS","MOE",0.109,0.007,0.059
"ENMO_log","PIJN",-0.057,0.093,0
"ENMO_log","MOE",-0.035,0.329,0.078
"ENMO_log","STRESS",0.035,0.264,0.018
