"from","to","weight","SE","P","ran_SD","edge"
"PIJN","PIJN",0.368,0.053,0,0.184,"PIJN__to__PIJN"
"PIJN","MOE",0.058,0.048,0.226,0.153,"PIJN__to__MOE"
"PIJN","STRESS",0.034,0.054,0.53,0.207,"PIJN__to__STRESS"
"PIJN","ENMO_log",0.006,0.048,0.894,0,"PIJN__to__ENMO_log"
"MOE","PIJN",0.01,0.044,0.825,0.107,"MOE__to__PIJN"
"MOE","MOE",0.291,0.042,0,0.094,"MOE__to__MOE"
"MOE","STRESS",-0.074,0.04,0.06,0.072,"MOE__to__STRESS"
"MOE","ENMO_log",-0.064,0.048,0.186,0,"MOE__to__ENMO_log"
"STRESS","PIJN",0.078,0.036,0.029,0.049,"STRESS__to__PIJN"
"STRESS","MOE",0.05,0.035,0.151,0.05,"STRESS__to__MOE"
"STRESS","STRESS",0.335,0.046,0,0.162,"STRESS__to__STRESS"
"STRESS","ENMO_log",0.039,0.048,0.418,0.094,"STRESS__to__ENMO_log"
"ENMO_log","PIJN",-0.058,0.045,0.202,0.194,"ENMO_log__to__PIJN"
"ENMO_log","MOE",-0.113,0.037,0.002,0.134,"ENMO_log__to__MOE"
"ENMO_log","STRESS",0.017,0.025,0.494,0,"ENMO_log__to__STRESS"
"ENMO_log","ENMO_log",0.136,0.05,0.006,0.188,"ENMO_log__to__ENMO_log"
