"dropped","edge","from","to","weight","P"
"P03","MOE__to__ENMO_log","MOE","ENMO_log",-0.072,0.171
"P03","STRESS__to__PIJN","STRESS","PIJN",0.077,0.037
"P03","STRESS__to__MOE","STRESS","MOE",0.053,0.11
"P03","STRESS__to__STRESS","STRESS","STRESS",0.318,0
"P03","STRESS__to__ENMO_log","STRESS","ENMO_log",0.074,0.143
"P03","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.058,0.274
"P03","ENMO_log__to__MOE","ENMO_log","MOE",-0.13,0.017
"P03","ENMO_log__to__STRESS","ENMO_log","STRESS",0.026,0.395
"P03","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.171,0.002
"P04","PIJN__to__PIJN","PIJN","PIJN",0.368,0
"P04","PIJN__to__MOE","PIJN","MOE",0.073,0.14
"P04","PIJN__to__STRESS","PIJN","STRESS",0.029,0.597
"P04","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.022,0.658
"P04","MOE__to__PIJN","MOE","PIJN",0.007,0.883
"P04","MOE__to__MOE","MOE","MOE",0.282,0
"P04","MOE__to__STRESS","MOE","STRESS",-0.071,0.084
"P04","MOE__to__ENMO_log","MOE","ENMO_log",-0.023,0.644
"P04","STRESS__to__PIJN","STRESS","PIJN",0.086,0.029
"P04","STRESS__to__MOE","STRESS","MOE",0.061,0.076
"P04","STRESS__to__STRESS","STRESS","STRESS",0.352,0
"P04","STRESS__to__ENMO_log","STRESS","ENMO_log",0.061,0.237
"P04","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.058,0.288
"P04","ENMO_log__to__MOE","ENMO_log","MOE",-0.129,0.018
"P04","ENMO_log__to__STRESS","ENMO_log","STRESS",0.03,0.306
"P04","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.163,0.004
"P05","PIJN__to__PIJN","PIJN","PIJN",0.373,0
"P05","PIJN__to__MOE","PIJN","MOE",0.073,0.145
"P05","PIJN__to__STRESS","PIJN","STRESS",0.037,0.505
"P05","PIJN__to__ENMO_log","PIJN","ENMO_log",0.001,0.988
"P05","MOE__to__PIJN","MOE","PIJN",0.021,0.634
"P05","MOE__to__MOE","MOE","MOE",0.293,0
"P05","MOE__to__STRESS","MOE","STRESS",-0.067,0.088
"P05","MOE__to__ENMO_log","MOE","ENMO_log",-0.062,0.224
"P05","STRESS__to__PIJN","STRESS","PIJN",0.075,0.042
"P05","STRESS__to__MOE","STRESS","MOE",0.051,0.121
"P05","STRESS__to__STRESS","STRESS","STRESS",0.337,0
"P05","STRESS__to__ENMO_log","STRESS","ENMO_log",0.063,0.216
"P05","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.043,0.412
"P05","ENMO_log__to__MOE","ENMO_log","MOE",-0.118,0.026
