"node1","node2","pcor","P"
"MOE","PIJN",0.364,0
"STRESS","PIJN",0.178,0
"STRESS","MOE",0.094,0.019
"ENMO_log","PIJN",-0.026,0.422
"ENMO_log","MOE",-0.014,0.678
"ENMO_log","STRESS",0.049,0.182
"EIGENEFF","PIJN",0.002,0.861
"EIGENEFF","MOE",-0.06,0.085
"EIGENEFF","STRESS",-0.044,0.207
"EIGENEFF","ENMO_log",0.007,0.809
"INTENTIE","PIJN",-0.069,0.034
"INTENTIE","MOE",0.019,0.659
"INTENTIE","STRESS",-0.015,0.532
"INTENTIE","ENMO_log",0.237,0
"INTENTIE","EIGENEFF",0.559,0
