"from","to","weight","SE","P","ran_SD"
"PIJN","PIJN",0.362,0.051,0,0.17
"PIJN","MOE",0.056,0.049,0.259,0.164
"PIJN","STRESS",0.03,0.055,0.584,0.206
"PIJN","ENMO_log",0.019,0.05,0.703,0
"PIJN","EIGENEFF",-0.074,0.051,0.144,0
"PIJN","INTENTIE",-0.023,0.047,0.625,0
"PIJN","UITKOMSTVERW",0.035,0.047,0.454,0
"MOE","PIJN",0.009,0.042,0.831,0.082
"MOE","MOE",0.285,0.041,0,0.077
"MOE","STRESS",-0.068,0.038,0.078,0.038
"MOE","ENMO_log",-0.035,0.053,0.506,0.073
"MOE","EIGENEFF",-0.027,0.051,0.602,0
"MOE","INTENTIE",-0.061,0.047,0.193,0
"MOE","UITKOMSTVERW",0,0.047,0.992,0
"STRESS","PIJN",0.074,0.036,0.039,0.054
"STRESS","MOE",0.048,0.032,0.137,0
"STRESS","STRESS",0.332,0.046,0,0.16
"STRESS","ENMO_log",0.066,0.05,0.187,0.11
"STRESS","EIGENEFF",0.028,0.056,0.622,0.168
"STRESS","INTENTIE",0.06,0.053,0.257,0.163
"STRESS","UITKOMSTVERW",0.033,0.042,0.422,0.035
"ENMO_log","PIJN",-0.061,0.054,0.256,0.243
"ENMO_log","MOE",-0.129,0.054,0.017,0.246
"ENMO_log","STRESS",0.035,0.031,0.248,0
"ENMO_log","ENMO_log",0.144,0.052,0.006,0.164
"ENMO_log","EIGENEFF",0.277,0.066,0,0.277
"ENMO_log","INTENTIE",0.195,0.057,0.001,0.23
"ENMO_log","UITKOMSTVERW",-0.047,0.044,0.294,0.111
"EIGENEFF","PIJN",-0.03,0.04,0.443,0.096
"EIGENEFF","MOE",-0.031,0.033,0.348,0
"EIGENEFF","STRESS",0.007,0.038,0.862,0.095
"EIGENEFF","ENMO_log",-0.004,0.046,0.939,0
"EIGENEFF","EIGENEFF",0.064,0.049,0.194,0.07
"EIGENEFF","INTENTIE",-0.146,0.054,0.008,0.169
"EIGENEFF","UITKOMSTVERW",0.206,0.045,0,0.062
"INTENTIE","PIJN",0.004,0.044,0.927,0.07
"INTENTIE","MOE",-0.009,0.045,0.841,0.11
"INTENTIE","STRESS",-0.054,0.039,0.167,0
"INTENTIE","ENMO_log",0.068,0.061,0.264,0.148
"INTENTIE","EIGENEFF",0.033,0.069,0.628,0.218
"INTENTIE","INTENTIE",0.309,0.064,0,0.192
"INTENTIE","UITKOMSTVERW",-0.091,0.057,0.111,0.137
"UITKOMSTVERW","PIJN",-0.017,0.031,0.579,0
"UITKOMSTVERW","MOE",-0.002,0.03,0.955,0
"UITKOMSTVERW","STRESS",-0.024,0.035,0.504,0.085
"UITKOMSTVERW","ENMO_log",-0.066,0.041,0.108,0
"UITKOMSTVERW","EIGENEFF",-0.055,0.048,0.256,0.112
"UITKOMSTVERW","INTENTIE",-0.071,0.038,0.065,0
"UITKOMSTVERW","UITKOMSTVERW",0.198,0.059,0.001,0.226
