"node1","node2","pcor","P"
"MOE","PIJN",0.693,0
"STRESS","PIJN",0.184,0.26
"STRESS","MOE",0.168,0.331
"ENMO_log","PIJN",0.083,0.477
"ENMO_log","MOE",-0.124,0.253
"ENMO_log","STRESS",-0.195,0.234
